#Description:	Blocked dgemm [pratyai].

Size: 31	Mflop/s:  1976.76	Percentage:  5.37
Size: 32	Mflop/s:  2096.27	Percentage:  5.70
Size: 96	Mflop/s:  2188.94	Percentage:  5.95
Size: 97	Mflop/s:  2169.61	Percentage:  5.90
Size: 127	Mflop/s:  2149.72	Percentage:  5.84
Size: 128	Mflop/s:  2131.71	Percentage:  5.79
Size: 129	Mflop/s:  2129.35	Percentage:  5.79
Size: 191	Mflop/s:  2142.53	Percentage:  5.82
Size: 192	Mflop/s:  2142.95	Percentage:  5.82
Size: 229	Mflop/s:  2165.63	Percentage:  5.88
Size: 255	Mflop/s:  2105.48	Percentage:  5.72
Size: 256	Mflop/s:  2084.69	Percentage:  5.66
Size: 257	Mflop/s:  2169.52	Percentage:  5.90
Size: 319	Mflop/s:  2126.63	Percentage:  5.78
Size: 320	Mflop/s:  2155.67	Percentage:  5.86
Size: 321	Mflop/s:  2160.69	Percentage:  5.87
Size: 417	Mflop/s:  2177.43	Percentage:  5.92
Size: 479	Mflop/s:  2113.15	Percentage:  5.74
Size: 480	Mflop/s:  2134.78	Percentage:  5.80
Size: 511	Mflop/s:  2052.83	Percentage:  5.58
Size: 512	Mflop/s:  2069.74	Percentage:  5.62
Size: 639	Mflop/s:  2051.96	Percentage:  5.58
Size: 640	Mflop/s:  2024.68	Percentage:  5.50
Size: 767	Mflop/s:  2010.99	Percentage:  5.46
Size: 768	Mflop/s:  1993.93	Percentage:  5.42
Size: 769	Mflop/s:  2003.17	Percentage:  5.44
#Average percentage of Peak = 5.71998
