#Description:	Blocked dgemm [pratyai].

Size: 31	Mflop/s:  3331.18	Percentage:  9.05
Size: 32	Mflop/s:  3274.94	Percentage:  8.90
Size: 96	Mflop/s:  3334.89	Percentage:  9.06
Size: 97	Mflop/s:  3373.88	Percentage:  9.17
Size: 127	Mflop/s:  3404.27	Percentage:  9.25
Size: 128	Mflop/s:  3109.12	Percentage:  8.45
Size: 129	Mflop/s:  3342.54	Percentage:  9.08
Size: 191	Mflop/s:  3374.67	Percentage:  9.17
Size: 192	Mflop/s:  3339.76	Percentage:  9.08
Size: 229	Mflop/s:  3373.22	Percentage:  9.17
Size: 255	Mflop/s:  3171.47	Percentage:  8.62
Size: 256	Mflop/s:  3074.04	Percentage:  8.35
Size: 257	Mflop/s:  3241.23	Percentage:  8.81
Size: 319	Mflop/s:  3361.07	Percentage:  9.13
Size: 320	Mflop/s:  3314.39	Percentage:  9.01
Size: 321	Mflop/s:  3202.95	Percentage:  8.70
Size: 417	Mflop/s:  3290.75	Percentage:  8.94
Size: 479	Mflop/s:  3270.19	Percentage:  8.89
Size: 480	Mflop/s:  3279.21	Percentage:  8.91
Size: 511	Mflop/s:  3072.43	Percentage:  8.35
Size: 512	Mflop/s:  2890.25	Percentage:  7.85
Size: 639	Mflop/s:  3096.25	Percentage:  8.41
Size: 640	Mflop/s:  3014.82	Percentage:  8.19
Size: 767	Mflop/s:  2982.47	Percentage:  8.10
Size: 768	Mflop/s:  2906.92	Percentage:  7.90
Size: 769	Mflop/s:  2988.49	Percentage:  8.12
#Average percentage of Peak = 8.71817
